Full Name,Email,Age,Zip,Phone,Gender,City,State,Password,Street,Major,Courses 1,Course 1 Name,Course 1 Details,Course 1 Type,Course 1 Section,Course 1 Section Limit,Course 1 HW_No,Course 1 HW_Details,Course 1 HW_Grade,Course 1 EXAM_No,Course 1 Exam_Details,Course 1 EXAM_Grade,Courses 2,Course 2 Name,Course 2 Details,Course 2 Type,Course 2 Section,Course 2 Section Limit,Course 2 HW_No,Course 2 HW_Details,Course 2 HW_Grade,Course 2 EXAM_No,Course 2 Exam_Details,Course 2 EXAM_Grade,Courses 3,Course 3 Name,Course 3 Details,Course 3 Type,Course 3 Section,Course 3 Section Limit,Course 3 HW_No,Course 3 HW_Details,Course 3 HW_Grade,Course 3 EXAM_No,Course 3 Exam_Details,Course 3 EXAM_Grade
Leonor Davis,lda3697@lionstate.edu,21,62610,4735427411,F,Alsey,Illinois,n7qps904,639 Princeton Rd. ,EE,CMPSC497,Introduction to Data Mining,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,63.0,,,,MATH231,Vector Calculus,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,1.0,Closed book exam for 100 marks,95.0,CSE543,Computer Security,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,100.0
Sterling Volkman Sr.,svo1567@lionstate.edu,20,50420,6724975421,F,Alexander,Iowa,72khyt24,655 East Branch Dr. ,PHYS,CMPSC132,Programming and Computation II,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,74.0,1.0,Closed book exam for 100 marks,77.0,EE330,Energy Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,94.0,CMPSC475,Applications Programming,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,74.0
Kylie Fay,kfa7315@lionstate.edu,19,94547,1973800908,M,Hercules,California,5wy4bon0,285 Dogwood Drive ,CMPSC,IST558,Data Mining 2,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,,,,IST128,Introduction to Python,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,78.0,STAT319,Applied Statistics in Science,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,1.0,Closed book exam for 100 marks,98.0
Robb Hegmann,rhe3959@lionstate.edu,18,46181,6284456171,F,Trafalgar,Indiana,meon7rzi,608 North Addison St. ,PHYS,CMPEN441,Operating Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,95.0,PHYS213,General Physics: Electricity and Magnetism,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,72.0,1.0,Closed book exam for 100 marks,94.0,CSE543,Computer Security,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,77.0
Victoria Toy II,vto8500@lionstate.edu,18,6026,3225122861,M,East Granby,Connecticut,sls2audw,860 Wakehurst Dr. ,STAT,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,88.0,1.0,Closed book exam for 100 marks,81.0,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,1.0,Closed book exam for 100 marks,84.0,ECON201,Intermediate Microeconomic Analysis,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,74.0
Lysanne Ullrich,lul2667@lionstate.edu,19,90017,9702158794,M,Los Angeles,California,ptc0b1y3,358 Marvon Ave. ,EE,STAT319,Applied Statistics in Science,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,93.0,1.0,Closed book exam for 100 marks,72.0,CMPSC497,Introduction to Data Mining,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,65.0,,,,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,1.0,Closed book exam for 100 marks,92.0
Loma Becker PhD,lbe3298@lionstate.edu,22,62530,3717226857,M,Divernon,Illinois,95zc0rwz,285 Dogwood Drive ,STAT,EE330,Energy Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,69.0,EE210,Continuous Time Linear Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,75.0,1.0,Closed book exam for 100 marks,73.0,MATH141,Matrices,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,75.0
Karson Bashirian MD,kba3267@lionstate.edu,22,60043,1487874874,M,Kenilworth,Illinois,zuqm5kpu,7529 Old Sunset Road ,CSE,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,77.0,1.0,Closed book exam for 100 marks,81.0,MATH141,Matrices,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,98.0,1.0,Closed book exam for 100 marks,74.0,PHYS214,General Physics: Wave Motion and Quantum Physics,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,71.0
Rose Veum,rve7599@lionstate.edu,19,30215,7703407913,M,Fayetteville,Georgia,xwdu18y9,308 Mammoth Dr. ,CSE,CMPSC221,OOP with Web Design,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,75.0,1.0,Closed book exam for 100 marks,82.0,IST110,"Introduction to Information, People And Technology",Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,89.0,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,77.0
Miss Lora Will,mlo5294@lionstate.edu,22,33936,3852723836,F,Lehigh Acres,Florida,oamszhnw,185 E. Trenton Street ,CMPSC,CSE543,Computer Security,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,72.0,1.0,Closed book exam for 100 marks,86.0,CHEM110,Environmental Chemistry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,94.0,1.0,Closed book exam for 100 marks,100.0,IST558,Data Mining 2,Regular 3 credit course offered only on campus,Cap,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,99.0,,,
Mrs. Joanny Legros,mjo3251@lionstate.edu,22,52216,2473811160,M,Clarence,Iowa,5ocovp3j,26 Johnson St. ,CMPSC,STAT319,Applied Statistics in Science,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,83.0,1.0,Closed book exam for 100 marks,66.0,EE311,Devices and Circuits I,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,73.0,1.0,Closed book exam for 100 marks,83.0,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,83.0,1.0,Closed book exam for 100 marks,92.0
Josefina Frami,jfr4395@lionstate.edu,19,72176,2074620632,F,Ward,Arkansas,f9se8wwm,8985 Cambridge Ave. ,EE,EE340,Design in Communications,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,73.0,,,,MATH141,Matrices,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,70.0,EE210,Continuous Time Linear Systems,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,84.0
Luisa Turcotte,ltu9306@lionstate.edu,19,83815,7575746070,F,Coeur D Alene,Idaho,fws0qxaz,7450 West Manchester Street ,STAT,CMPSC311,Introduction to Systems Programming,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,81.0,1.0,Closed book exam for 100 marks,75.0,IST110,"Introduction to Information, People And Technology",Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,64.0,1.0,Closed book exam for 100 marks,86.0,MATH230,Ordinary and Partial Differential Equations,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,91.0
Jace Swift,jsw5249@lionstate.edu,19,47959,1739752641,M,Monon,Indiana,kyknbv85,285 Dogwood Drive ,MATH,CMPSC132,Programming and Computation II,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,99.0,1.0,Closed book exam for 100 marks,89.0,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,64.0,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,90.0
Rae Feil,rfe9835@lionstate.edu,22,60474,1588062443,M,South Wilmington,Illinois,1dig79sf,285 Dogwood Drive ,IST,CMPSC221,OOP with Web Design,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,1.0,Closed book exam for 100 marks,78.0,PHYS211,Thermal Physics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,1.0,Closed book exam for 100 marks,69.0,STAT414,Introduction to Probability Theory,Regular 3 credit course offered only on campus,Cap,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,73.0,,,
Joanny Stracke,jst9690@lionstate.edu,20,30701,1914982922,F,Calhoun,Georgia,nq4112q9,608 North Addison St. ,EE,EE352,Design of Digital Circuits and Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,88.0,STAT318,Elementary Probability,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,1.0,Closed book exam for 100 marks,96.0,EE330,Energy Systems,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,100.0
Kailyn Kassulke V,kka3493@lionstate.edu,20,50634,3975105666,M,Gilbertville,Iowa,sgdlqet1,9498 Newport Ave. ,CMPSC,CHEM110,Environmental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,64.0,1.0,Closed book exam for 100 marks,88.0,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,94.0,1.0,Closed book exam for 100 marks,60.0,EE211,Circuit Theory,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,100.0,1.0,Closed book exam for 100 marks,88.0
Ms. Raoul Lang,mra5395@lionstate.edu,22,80631,2466899707,F,Greeley,Colorado,k6uyidbm,88 Harrison Street ,CMPSC,EE330,Energy Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,61.0,CMPEN411,VLSI Digital Circuits,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,93.0,1.0,Closed book exam for 100 marks,89.0,EE320,Network Security and Cryptography,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,81.0,1.0,Closed book exam for 100 marks,90.0
Vella Ernser,ver7410@lionstate.edu,19,6785,4547185091,F,South Kent,Connecticut,mk737jwg,798 North Euclid Drive ,CMPEN,EE330,Energy Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,81.0,1.0,Closed book exam for 100 marks,94.0,CSE543,Computer Security,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,65.0,CSE583,Pattern Recognition,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,73.0,1.0,Closed book exam for 100 marks,94.0
Ms. Lori Luettgen,mlo6590@lionstate.edu,22,47940,7718304270,F,Darlington,Indiana,u9x7dz70,91 S. Gartner Street ,CMPEN,CMPEN454,Fundamentals of Computer Vision,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,,,,CMPSC461,Programming Language Concepts,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,65.0,1.0,Closed book exam for 100 marks,65.0,CMPSC311,Introduction to Systems Programming,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,72.0,1.0,Closed book exam for 100 marks,90.0
Lucienne Dicki MD,ldi8835@lionstate.edu,21,72513,9521838916,F,Ash Flat,Arkansas,609akvrd,963 Court Road ,ECON,CMPEN270,Embedded Systems Design,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,92.0,1.0,Closed book exam for 100 marks,99.0,IST128,Introduction to Python,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,87.0,CMPSC131,Programming and Computation,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,99.0
Jared Kunde,jku5047@lionstate.edu,18,46760,7798511396,M,Kimmell,Indiana,94qak42y,88 Harrison Street ,STAT,DS220,Data Modelling,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,92.0,CMPSC497,Introduction to Data Mining,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,,,,EE352,Design of Digital Circuits and Systems,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,99.0
Isabel Nader,ina3083@lionstate.edu,21,52341,1962198158,M,Toddville,Iowa,41gfy1ej,6 Andover Dr. ,IST,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,94.0,1.0,Closed book exam for 100 marks,69.0,EE320,Network Security and Cryptography,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,74.0,1.0,Closed book exam for 100 marks,69.0,STAT415,Introduction to Mathematical Statistics,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,83.0,1.0,Closed book exam for 100 marks,74.0
Patsy Beer,pbe5438@lionstate.edu,20,31623,2033001056,M,Argyle,Georgia,skf5ui3q,266 Second Street ,PHYS,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,71.0,EE320,Network Security and Cryptography,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,1.0,Closed book exam for 100 marks,84.0,MATH230,Ordinary and Partial Differential Equations,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,71.0
Rosendo Friesen,rfr7251@lionstate.edu,20,32024,8817991287,F,Lake City,Florida,dok8nl9x,9236 El Dorado St. ,CSE,PHYS213,General Physics: Electricity and Magnetism,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,1.0,Closed book exam for 100 marks,93.0,MATH231,Vector Calculus,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,72.0,1.0,Closed book exam for 100 marks,95.0,EE320,Network Security and Cryptography,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,84.0
Miss Nikki Kassulke,mni1754@lionstate.edu,22,30275,7837785888,M,Sargent,Georgia,1vfo45w7,8131 Elizabeth Ave. ,PHYS,EE211,Circuit Theory,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,75.0,1.0,Closed book exam for 100 marks,60.0,MATH230,Ordinary and Partial Differential Equations,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,92.0,CMPSC311,Introduction to Systems Programming,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,88.0,1.0,Closed book exam for 100 marks,73.0
Savannah Maggio,sma6410@lionstate.edu,20,34491,3375574921,M,Summerfield,Florida,49xkwq6n,120 Heritage Lane ,CMPEN,CMPEN351,Microprocessors,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,69.0,EE311,Devices and Circuits I,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,1.0,Closed book exam for 100 marks,65.0,DS220,Data Modelling,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,65.0
Lucinda Jakubowski,lja5065@lionstate.edu,21,33763,3246739125,M,Clearwater,Florida,f2hkrocp,185 E. Trenton Street ,EE,DS220,Data Modelling,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,91.0,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,1.0,Closed book exam for 100 marks,64.0,MATH141,Matrices,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,1.0,Closed book exam for 100 marks,73.0
Wilfred Runolfsson,wru6659@lionstate.edu,20,60653,3451666217,F,Chicago,Illinois,f2ey91az,639 Princeton Rd. ,EE,CMPSC221,OOP with Web Design,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,93.0,1.0,Closed book exam for 100 marks,71.0,MATH230,Ordinary and Partial Differential Equations,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,1.0,Closed book exam for 100 marks,76.0,STAT414,Introduction to Probability Theory,Regular 3 credit course offered only on campus,Cap,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,83.0,,,
Wilma Legros,wle7976@lionstate.edu,20,61377,7105441171,F,Wenona,Illinois,ij8sdkw9,63 Lake Forest Road ,CSE,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,74.0,1.0,Closed book exam for 100 marks,86.0,ECON102,Introductory Microeconomic Analysis and Policy,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,89.0,MATH140,Calculus with Analytic Geometry,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,89.0,1.0,Closed book exam for 100 marks,60.0
Julie Rice,jri3730@lionstate.edu,19,94041,7146304182,M,Mountain View,California,xmiiavzz,336 Myrtle Street ,CMPEN,CMPSC131,Programming and Computation,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,75.0,CHEM112,Chemical Principles,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,98.0,1.0,Closed book exam for 100 marks,87.0,CMPEN454,Fundamentals of Computer Vision,Regular 3 credit course offered only on campus,Cap,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,,,
Nettie Schowalter,nsc1496@lionstate.edu,21,30034,2499327254,M,Decatur,Georgia,4wks1yn1,182 Spring Street ,ECON,CMPEN441,Operating Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,67.0,CMPEN351,Microprocessors,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,69.0,1.0,Closed book exam for 100 marks,83.0,EE330,Energy Systems,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,93.0,1.0,Closed book exam for 100 marks,65.0
Mr. Shanny Haag,msh8653@lionstate.edu,18,31630,3913166113,M,Du Pont,Georgia,66krk2ow,9420 Tallwood Street ,ECON,MATH141,Matrices,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,64.0,1.0,Closed book exam for 100 marks,87.0,CMPSC311,Introduction to Systems Programming,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,86.0,PHYS212,Solid State Physics,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,1.0,Closed book exam for 100 marks,98.0
Newton Ankunding,nan2109@lionstate.edu,18,72126,7429084909,F,Perryville,Arkansas,8tayuxnr,495 Jockey Hollow Ave. ,DS,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,99.0,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,69.0,1.0,Closed book exam for 100 marks,63.0,CMPSC131,Programming and Computation,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,74.0,1.0,Closed book exam for 100 marks,87.0
Loyal Schamberger,lsc8583@lionstate.edu,21,46148,8916369391,F,Knightstown,Indiana,hrj3gm5t,63 Lake Forest Road ,EE,CMPSC132,Programming and Computation II,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,1.0,Closed book exam for 100 marks,99.0,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,1.0,Closed book exam for 100 marks,86.0,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,69.0
Simone Mayert,sma9638@lionstate.edu,18,95709,7455474726,M,Camino,California,06f3jir4,8687 N. Sleepy Hollow Court ,STAT,CMPSC465,Data structures and algorithms,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,89.0,1.0,Closed book exam for 100 marks,94.0,IST110,"Introduction to Information, People And Technology",Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,98.0,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,93.0,1.0,Closed book exam for 100 marks,81.0
Roger Roob,rro3378@lionstate.edu,18,19936,6625501156,F,Cheswold,Delaware,euho4xy8,798 North Euclid Drive ,PHYS,CSE583,Pattern Recognition,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,91.0,1.0,Closed book exam for 100 marks,68.0,EE320,Network Security and Cryptography,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,98.0,CMPSC132,Programming and Computation II,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,1.0,Closed book exam for 100 marks,82.0
Logan Wolf,lwo9519@lionstate.edu,20,81024,5511094114,M,Boncarbo,Colorado,l2c6cn16,798 North Euclid Drive ,IST,STAT318,Elementary Probability,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,81.0,1.0,Closed book exam for 100 marks,74.0,ECON201,Intermediate Microeconomic Analysis,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,62.0,EE210,Continuous Time Linear Systems,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,64.0,1.0,Closed book exam for 100 marks,69.0
Isaiah Lakin,ila1616@lionstate.edu,19,52254,3822251786,F,Lost Nation,Iowa,01idi3cu,120 Heritage Lane ,EE,PHYS211,Thermal Physics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,88.0,1.0,Closed book exam for 100 marks,93.0,EE352,Design of Digital Circuits and Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,74.0,1.0,Closed book exam for 100 marks,79.0,CMPEN270,Embedded Systems Design,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,83.0,1.0,Closed book exam for 100 marks,73.0
